Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Setting Up a Continuous Integration and Continuous Delivery Pipeline for Azure Functions,Integrating Serverless Architecture,,,,10.1007/978-1-4842-4489-0_9,Rami Vemula,2019,http://link.springer.com/chapter/10.1007/978-1-4842-4489-0_9,Chapter
Designing the Tweet Scheduler Function with Service Bus Integration,Integrating Serverless Architecture,,,,10.1007/978-1-4842-4489-0_4,Rami Vemula,2019,http://link.springer.com/chapter/10.1007/978-1-4842-4489-0_4,Chapter
Managing App Settings and Implementing Authentication in Azure Functions,Integrating Serverless Architecture,,,,10.1007/978-1-4842-4489-0_8,Rami Vemula,2019,http://link.springer.com/chapter/10.1007/978-1-4842-4489-0_8,Chapter
Handling Secrets and Exceptions in Azure Functions,Integrating Serverless Architecture,,,,10.1007/978-1-4842-4489-0_5,Rami Vemula,2019,http://link.springer.com/chapter/10.1007/978-1-4842-4489-0_5,Chapter
Getting Started with Azure SignalR Service,Integrating Serverless Architecture,,,,10.1007/978-1-4842-4489-0_7,Rami Vemula,2019,http://link.springer.com/chapter/10.1007/978-1-4842-4489-0_7,Chapter
Designing and Developing the Twitter Bot Web Application,Integrating Serverless Architecture,,,,10.1007/978-1-4842-4489-0_6,Rami Vemula,2019,http://link.springer.com/chapter/10.1007/978-1-4842-4489-0_6,Chapter
Exploring Azure Cosmos DB and Its Change Feed Mechanism,Integrating Serverless Architecture,,,,10.1007/978-1-4842-4489-0_3,Rami Vemula,2019,http://link.springer.com/chapter/10.1007/978-1-4842-4489-0_3,Chapter
A Multi-device Cloud-Based Personal Event Management System,"Green, Pervasive, and Cloud Computing",,,,10.1007/978-3-030-19223-5_14,Rita FranceseMichele RisiGenoveffa Tortora,2019,http://link.springer.com/chapter/10.1007/978-3-030-19223-5_14,Chapter
Durable Functions,Advanced Scenarios in Azure Functions,,,,10.1007/978-1-4842-4408-1_4,Sahil Malik,2019,http://link.springer.com/video/segment/10.1007/978-1-4842-4408-1_4,Video/Segment
Implications of Data Density and Length of Collection Period for Population Estimations Using Social Media Data,"Geographical Information Systems Theory, Applications and Management",,,,10.1007/978-3-030-06010-7_4,Samuel Lee Toepke,2019,http://link.springer.com/chapter/10.1007/978-3-030-06010-7_4,Chapter
Azure Integration,Customizing Dynamics 365,,,,10.1007/978-1-4842-4379-4_6,Sanjaya Yapa,2019,http://link.springer.com/chapter/10.1007/978-1-4842-4379-4_6,Chapter
Orchestration Tools for Big Data,Encyclopedia of Big Data Technologies,,,,10.1007/978-3-319-77525-8_43,Saurabh GargSiqi WangRajiv Ranjan,2019,http://link.springer.com/referenceworkentry/10.1007/978-3-319-77525-8_43,ReferenceWorkEntry
MioStream: a peer-to-peer distributed live media streaming on the edge,Multimedia Tools and Applications,,,,10.1007/s11042-018-6940-2,Servio PalaciosVictor SantosEdgardo BarsalloBharat Bhargava,2019,http://link.springer.com/article/10.1007/s11042-018-6940-2,Article
FaaStest - Machine Learning Based Cost and Performance FaaS Optimization,"Economics of Grids, Clouds, Systems, and Services",,,,10.1007/978-3-030-13342-9_15,Shay HorovitzRoei AmosOhad BaruchTomer CohenTal OyarAfik Deri,2019,http://link.springer.com/chapter/10.1007/978-3-030-13342-9_15,Chapter
Introduction to Data Analytics,Understanding Azure Data Factory,,,,10.1007/978-1-4842-4122-6_1,Sudhir RawatAbhishek Narain,2019,http://link.springer.com/chapter/10.1007/978-1-4842-4122-6_1,Chapter
Introduction to Azure Data Factory,Understanding Azure Data Factory,,,,10.1007/978-1-4842-4122-6_2,Sudhir RawatAbhishek Narain,2019,http://link.springer.com/chapter/10.1007/978-1-4842-4122-6_2,Chapter
Data Movement,Understanding Azure Data Factory,,,,10.1007/978-1-4842-4122-6_3,Sudhir RawatAbhishek Narain,2019,http://link.springer.com/chapter/10.1007/978-1-4842-4122-6_3,Chapter
Cloud and IoT-based emerging services systems,Cluster Computing,,22,1,10.1007/s10586-018-2821-8,Sugam SharmaVictor ChangU. Sunday TimJohnny WongShashi Gadia,2019,http://link.springer.com/article/10.1007/s10586-018-2821-8,Article
Introducing the Cloud Computing Platform,Hardening Azure Applications,,,,10.1007/978-1-4842-4188-2_1,Suren MachirajuSuraj Gaurav,2019,http://link.springer.com/chapter/10.1007/978-1-4842-4188-2_1,Chapter
SmartVM: a SLA-aware microservice deployment framework,World Wide Web,,22,1,10.1007/s11280-018-0562-5,Tianlei ZhengXi ZhengYuqun ZhangYao DengErXi DongRui ZhangXiao Liu,2019,http://link.springer.com/article/10.1007/s11280-018-0562-5,Article
Looking for Group: Live Streaming Programming for Small Audiences,Information in Contemporary Society,,,,10.1007/978-3-030-15742-5_10,Travis FaasLynn DombrowskiErin BradyAndrew Miller,2019,http://link.springer.com/chapter/10.1007/978-3-030-15742-5_10,Chapter
Parameter Selection for Regularized Electron Tomography Without a Reference Image,Image Analysis,,,,10.1007/978-3-030-20205-7_37,Yan GuoBernd Rieger,2019,http://link.springer.com/chapter/10.1007/978-3-030-20205-7_37,Chapter
